description,canonicalTag
"Pure 1/2 cups rice flour, divided","rice flour"
"Pure cups vanilla-flavored almond milk (such as silk®), or as needed","almond milk"
"Pure cup diced smoked tempeh bacon (such as lightlife® organic smoky tempeh strips®)","tempeh"
"AVOCADO OIL","oil"
"Pure (14-ounce) cans coconut milk","coconut milk"
"Pure (14-ounce) can unsweetened coconut milk (do not stir), divided","coconut milk"
"Pure cups almond milk, or more as needed","almond milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"OLIVE OIL, MILD","olive oil"
"OLIVE OIL, MILD","olive oil"
"Pure (12.3 ounce) package light firm tofu, sliced","tofu"
"Pure (13.5-ounce) can unsweetened coconut milk, cream separated from milk, room temperature","coconut milk"
"MARINARA SAUCE","pizza sauce"
"MILD TOMATO SAUCE","pizza sauce"
"Pure ounces tofu, drained, patted dry and cut into 3/4-inch cubes","tofu"
"Pure 14- to 16-ounce package firm tofu, drained, cut into 1/2-inch cubes, patted dry","tofu"
"Pure can well-shaken unsweetened coconut milk","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure (12 ounce) package extra-firm tofu, cut into 1/2-inch cubes","tofu"
"Pure (14-ounce) package firm tofu, drained, patted dry, cut into 3/4-inch pieces","tofu"
"Pure cup (4 fl. oz./125 ml) light coconut milk","coconut milk"
"Pure lb. (500 g) firm tofu, cut into slices 1/2 inch (12 mm) thick","tofu"
"Pure 1/3 cups well-stirred canned unsweetened coconut milk","coconut milk"
"Pure carton firm tofu, drained and cut into large cubes","tofu"
"Pure chunks baked tofu, thinly sliced","tofu"
"Pure cooking spray (not flavored)","cooking spray"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Pure pound firm tofu (bean curd), drained, cut into 1/2-inch cubes","tofu"
"Pure 13.5-ounce can full-fat coconut milk","coconut milk"
"Pure ounces packaged baked tofu, cut into 3- by 1/3-inch sticks","tofu"
"VEGETABLE OIL","oil"
"Pure 1/2 cups almond milk, or as needed","almond milk"
"Pure 13.5 ounce cans coconut milk","coconut milk"
"Pure (13.5 ounce) can coconut milk, divided","coconut milk"
"Pure (8 ounce) package baked tofu, cut into bite-size pieces","tofu"
"MISO ORGANIC TOFU, MISO","tofu"
"Pure (8 ounce) package tempeh, cut into 1/8-inch thick strips","tempeh"
"Pure slices tempeh bacon","tempeh"
"Pure (8 ounce) packages tempeh, sliced diagonally","tempeh"
"Pure (8 ounce) package spicy flavored tempeh, coarsely grated","tempeh"
"Pure cup plus 2 tablespoons rice flour, divided","rice flour"
"Pure 13.5- to 14-ounce can unsweetened coconut milk*","coconut milk"
"Pure 1/2 cups canned unsweetened coconut milk*","coconut milk"
"Pure (13.5 ounce) can reduced-fat coconut milk","coconut milk"
"Pure 13-to 14-ounce can unsweetened coconut milk","coconut milk"
"Pure (14 ounce) cans light coconut milk","coconut milk"
"CANE SUGAR","sugar"
"Pure 14-ounce can unsweetened coconut milk, chilled (available at asian markets)","coconut milk"
"Pure (12 ounce) packages extra firm tofu","tofu"
"Pure can (14 fl. oz./430 ml) coconut milk, stirred thoroughly","coconut milk"
"Pure meatless turkey-flavored deli slices (such as tofurky®), chopped","tofu"
"KOREAN-INSPIRED SWEET CHILI OVEN-BAKED BITE SIZE TOFU CUBES MARINATED IN A SWEET & SPICY KOREAN-INSPIRED CHILI SAUCE ORGANIC TOSS'ABLES, KOREAN-INSPIRED SWEET CHILI","tofu"
"TABLE SALT","salt"
"Pure 1/4 cups canned unsweetened coconut milk* (from one 13-to 14-ounce can)","coconut milk"
"Pure (12 ounce) package extra-firm tofu, drained and diced","tofu"
"Pure (12 ounce) packages extra firm tofu, drained and cubed","tofu"
"Pure ounces extra-firm tofu, well drained","tofu"
"Pure (12 ounce) package extra-firm tofu, cubed","tofu"
"Pure (12 ounce) package firm tofu - drained, patted dry, and sliced into 4 slices","tofu"
