description,canonicalTag
"BLACK SALT","salt"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"RED LENTILS, RED","lentils"
"HOT TOASTED SESAME OIL, HOT TOASTED","oil"
"SILKEN EXTRA FIRM TOFU","tofu"
"BADIA COCONUT MILK 13.5 FL OZ","coconut milk"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"ALL-PURPOSE FLOUR","flour"
"GRANULATED SUGAR","sugar"
"COCONUT MILK, UNSWEETENED","coconut milk"
"ACTIVE DRY YEAST","yeast"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"PURE OLIVE OIL","olive oil"
"GRANULATED WHITE SUGAR","sugar"
"LIGHTLIFE TEMPEH CUBES TERIYAKI, 6 OZ","tempeh"
"SOUTHWEST TEMPEH CUBES","tempeh"
"ACTIVE DRY YEAST","yeast"
"WHIPPED UNSALTED BUTTER","butter"
"UNSALTED BUTTER","butter"
"WHOLE MILK","milk"
"GRANULATED SUGAR","sugar"
"CARAMEL ALMOND MILK CREAMER, CARAMEL","almond milk"
"LENTILS","lentils"
"ORIGINAL SWEETENED ALMOND MILK, ORIGINAL SWEETENED","almond milk"
"GLUTEN FREE ORGANIC COCONUT FLOUR","coconut flour"
"MARINARA SAUCE","pizza sauce"
"WHITE PEACH COCONUT MILK DRINK, WHITE PEACH","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"AVOCADO OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"OLIVE OIL, MILD","olive oil"
"OLIVE OIL, MILD","olive oil"
"MARINARA SAUCE","pizza sauce"
"MILD TOMATO SAUCE","pizza sauce"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
